eng,myn
I went for a walk in the park this evening.,ညနေ ပန်းခြံမှာ လမ်းသွားလျှောက်မယ်။
That supermarket is open at night too.,အဲဒီကစူပါမားကက်က ညလည်း ဖွင့်တယ်။
"Even though it is already 12.00 midnight, I will study.",ညဆယ့်နှစ်နာရီပေမဲ့ စာဖတ်မယ်။
My father works from morning to evening every day.,အဖေ နေ့တိုင်း မနက်ကနေ ညအထိ အလုပ်လုပ်တယ်။
I was studying until late yesterday evening.,မနေ့ညက အတော် မိုးချုပ်တဲ့အထိ စာဖတ်တယ်။
I will be at school tomorrow morning.,မနက်ဖန် မနက်ပိုင်း ကျောင်းမှာ ရှိမယ်။
It is seven in the morning right now.,အခု မနက်ခုနစ်နာရီပါ။
It is seven in the afternoon right now.,အခု ညခုနစ်နာရီပါ။
"I have some time this morning, so I will read the newspaper before heading out.",ဒီမနက်က အချိန်ရလို့ သတင်းစာ ဖတ်ပြီးမှ အိမ်က ထွက်မယ်။
"I am busy with work, so I don't have time to go out.",အလုပ်များလို့ လျှောက်လည်ဖို့ အချိန်မရဘူး။
We must listen to the teacher carefully during class.,စာသင်ချိန်မှာ ဆရာ့စကားကို သေချာ နားထောင်ရမယ်။
It takes one hour to get from my house to school by train.,အိမ်ကနေ ကျောင်းအထိ ရထားနဲ့ တစ်နာရီ ကြာတယ်။
I slept for eight hours yesterday.,မနေ့က ရှစ်နာရီကြာလောက် အိပ်တယ်။
"When I get home, I take a shower first.",အိမ်ပြန်ရင် ရေ အရင် ချိုးမယ်။
"When we ride the train, we let the people get off first.",ရထား စီးတဲ့အခါ ဆင်းတဲ့လူက အရင်။
"After you put in some sugar, then you put in a little bit of soy sauce.",သကြား ထည့်ပြီးရင် နောက်တစ်ဆင့်အနေနဲ့ ပဲငံပြာရည် နည်းနည်း ထည့်မယ်။
I will lend this magazine to Mr Yamada next.,ပြီးရင် ဒီမဂ္ဂဇင်းကို မစ္စတာယာမာဒါကို ငှားမယ်။
I will go to the library later to return a book.,တော်ကြာကျရင် စာကြည့်တိုက်မှာ စာအုပ် သွားအပ်မယ်။
The class will finish in five minutes.,နောက်ငါးမိနစ်ဆို အတန်းပြီးမယ်။
This restaurant is big and beautiful.,ဒီစားသောက်ဆိုင်က ကြီးပြီး သန့်တယ်။
Small animals are very cute.,တိရစ္ဆာန်သေးသေးလေးတွေက အရမ်း ချစ်ဖို့ကောင်းတယ်။
My house is small and cramped.,ကျွန်တော့်အိမ်က သေးပြီး ကျဉ်းတယ်။
"The night is dark, so it is dangerous.",ညဘက်က မှောင်တော့ အန္တရာယ်များတယ်။
I will study somewhere bright.,လင်းလင်းထိန်ထိန် ရှိတဲ့ နေရာမှာ စာဖတ်တယ်။
This classroom is bright and pretty.,ဒီစာသင်ခန်းက အလင်းရောင်ကောင်းပြီး သန့်ရှင်းတယ်။
This tea is hot.,ဒီလက်ဖက်ရည်က ပူတယ်။
I would like to drink some hot tea.,ရေနွေးကြမ်း ပူပူလေး သောက်ချင်တယ်။
I drink one cold glass of milk every morning.,မနက်တိုင်း နွားနို့ အေးအေး တစ်ခွက် သောက်တယ်။
The water in the pool is cold.,ရေကူးကန်ကရေက အေးတယ်။
There is a tree in the park with a thick trunk.,ပန်းခြံမှာ သစ်ပင် တုတ်တုတ်ကြီးတွေ ရှိတယ်။
"I ran every day, so I got skinnier.",မနက်တိုင်း ပြေးနေလို့ နည်းနည်းတော့ ပိန်သွားတယ်။
"That person has long, skinny legs.",ဟိုလူရဲ့ ခြေထောက်က သွယ်ပြီး ရှည်တယ်။
This magazine is thick and heavy.,ဒီမဂ္ဂဇင်းက ထူပြီး လေးတယ်။
This bread is thick.,ဒီဘောပင်က တုတ်တယ်။
I will eat thick meat.,အသားတုံး ထူထူကို စားတယ်။
I bought a thin dictionary.,အဘိဓာန် ပါးပါး တစ်အုပ် ဝယ်လိုက်တယ်။
"The wall of this room is thin, so I will talk quietly.",ဒီအခန်းရဲ့ နံရံက ပါးလို့ အသံ တိုးတိုးနဲ့ စကားပြောတယ်။
A man will carry the heavy box.,လေးတဲ့ သေတ္တာကို ယောကျ်ားလေးက သယ်မယ်။
This bag is big and heavy.,ဒီအိတ်က ကြီးပြီး လေးတယ်။
I want shoes that are light.,ကျွန်တော် ပေါ့တဲ့ ဖိနပ် လိုချင်တယ်။
Ms Kimura's package is small and light.,မစ္စတာခိမုရရဲ့ အထုပ်က သေးပြီး ပေါ့တယ်။
Mr Yamada is the tallest in the class.,မစ္စတာယာမာဒါက အတန်းထဲမှာ အရပ်အရှည်ဆုံးပဲ။
I want to live in a high place.,ကျွန်တော် မြင့်တဲ့နေရာမှာ နေချင်တယ်။
I am thinking of studying for a long time this evening.,ဒီညတော့ အချိန် နည်းနည်းကြာကြာလေးလောက် စာဖတ်မယ်လို့ စိတ်ကူးထားတယ်။
Yesterday's class was long.,မနေ့ကအတန်းက အချိန်ရှည်တယ်။
That short person is Ms Kimura.,ဟို အရပ်ပုပုနဲ့လူက မစ္စတာခိမုရပါ။
This mountain is low.,ဒီတောင်က နိမ့်တယ်။
I must do this work in a short time.,အချိန်တိုတိုအတွင်း ဒီအလုပ်ကို မလုပ်လို့မရဘူး။
A day is very short.,နေ့တစ်နေ့ ဆိုတာ အရမ်း တိုတယ်။
This film was not really good.,ဒီရုပ်ရှင်က သိပ်မကောင်းဘူး။
I know a good shop.,ကျွန်တော် ကောင်းတဲ့ဆိုင်ကို သိတယ်။
"This computer is expensive, but it is very good.",ဒီကွန်ပျူတာက ဈေးကြီးပေမဲ့ အရမ်း ကောင်းတယ်။
This food is bad for you.,ဒါ ခန္ဓာကိုယ်အတွက် မကောင်းတဲ့စားစရာ။
The weather is bad today.,ဒီနေ့ ရာသီဥတု မကောင်းဘူး။
Mr Yamada is a funny person.,မစ္စတာယာမာဒါက စိတ်ဝင်စားဖို့ကောင်းတဲ့လူပဲ။
This class is very interesting.,ဒီအတန်းက အရမ်း စိတ်ဝင်စားဖို့ကောင်းတယ်။
The party yesterday was very fun.,မနေ့ကပါတီမှာ အရမ်း ပျော်ခဲ့တယ်။
Studying Japanese is fun.,ဂျပန်စာ လေ့လာရတာ ပျော်တယ်။
I listened to a boring story from my friend.,သူငယ်ချင်းဆီက စိတ်ဝင်စားစရာ မကောင်းတဲ့စကားကို ကြားရတယ်။
This book is boring.,ဒီစာအုပ်က စိတ်ဝင်စားဖို့မကောင်းဘူး။
I heard something I didn't like yesterday.,မနေ့က မကြားချင်တဲ့စကားကို ကြားရတယ်။
I don't like cleaning or doing the laundry.,ကျွန်တော် သန့်ရှင်းရေးတို့ အဝတ်လျှော်တာတို့ကို လုပ်ရတာ မုန်းတယ်။
